,City,Cloudiness,Country,Date,Humidity,Lng,Lat,Max Temp,Wind Speed
0,kasongo-lunda,90,CL,1561518428,96,-70.91,-53.16,273.15,3.1
1,kasongo-lunda,0,AU,1561518431,76,115.35,-33.64,292.04,16.4
2,kasongo-lunda,37,TD,1561518433,42,18.34,13.21,304.015,8.73
3,kasongo-lunda,96,BR,1561518435,66,-46.0,-20.63,291.815,1.67
4,kasongo-lunda,75,AU,1561518436,55,150.85,-34.58,290.93,3.1
5,kasongo-lunda,0,BR,1561518438,91,-39.92,-2.92,295.915,2.72
6,kasongo-lunda,75,IN,1561518439,94,74.49,15.34,296.15,2.1
7,kasongo-lunda,100,RU,1561518441,96,132.48,48.12,283.615,7.99
8,kasongo-lunda,40,AR,1561518375,92,-68.31,-54.81,271.15,2.1
9,kasongo-lunda,75,PE,1561518434,82,-76.2,-13.71,288.15,2.1
10,kasongo-lunda,1,CA,1561518444,75,-68.59,70.47,273.15,4.1
11,kasongo-lunda,0,ZA,1561518181,81,18.42,-33.93,288.15,2.1
12,kasongo-lunda,40,US,1561518448,58,-155.08,19.71,302.15,7.2
13,kasongo-lunda,75,CL,1561518449,87,-73.83,-41.87,282.15,3.6
14,kasongo-lunda,100,NI,1561518450,98,-84.4,13.92,295.815,0.71
15,kasongo-lunda,40,JP,1561518451,37,137.5,36.93,304.82,1.0
16,kasongo-lunda,2,BR,1561518299,96,-37.61,-11.81,292.415,0.44
17,kasongo-lunda,40,ET,1561518453,82,38.73,8.96,287.15,1.21
18,kasongo-lunda,0,GL,1561518185,86,-37.64,65.61,278.15,3.6
19,kasongo-lunda,0,AO,1561518457,46,16.94,-12.38,282.615,1.14
20,kasongo-lunda,90,CA,1561518458,84,-133.03,69.44,277.15,8.7
21,kasongo-lunda,0,TR,1561518460,77,35.55,38.69,290.37,2.6
22,kasongo-lunda,15,RU,1561518462,39,135.8,62.22,295.815,2.5
23,kasongo-lunda,100,PG,1561518464,81,152.44,-3.66,300.115,6.88
24,kasongo-lunda,18,EC,1561518169,85,-90.35,-0.74,295.415,4.57
25,kasongo-lunda,88,GL,1561518467,88,-69.36,77.48,274.115,1.19
26,kasongo-lunda,87,RU,1561518468,96,80.55,73.51,273.615,9.24
27,kasongo-lunda,75,MX,1561518471,40,-104.67,23.99,296.15,3.6
28,kasongo-lunda,93,FO,1561518475,93,-6.59,62.23,283.15,4.6
29,kasongo-lunda,0,BR,1561518476,88,-40.5,-20.67,296.15,3.6
30,kasongo-lunda,100,KI,1561518277,69,172.79,3.07,302.215,3.67
31,kasongo-lunda,75,CL,1561518479,93,-73.13,-41.77,281.15,6.7
32,kasongo-lunda,0,IE,1561518483,95,-9.15,54.11,287.04,0.45
33,kasongo-lunda,100,AR,1561518314,58,-67.52,-46.43,279.015,8.46
34,kasongo-lunda,46,NZ,1561518366,75,168.86,-46.19,284.82,3.13
35,kasongo-lunda,100,GL,1561518490,88,-56.15,72.79,273.615,3.71
36,kasongo-lunda,75,PT,1561518492,77,-25.43,37.72,291.15,3.1
37,kasongo-lunda,75,JP,1561518495,83,134.5,33.93,300.93,9.3
38,kasongo-lunda,34,AU,1561518498,66,149.07,-23.58,292.615,9.93
39,kasongo-lunda,0,PF,1561518500,81,-134.97,-23.12,296.115,3.21
40,kasongo-lunda,43,LY,1561518501,22,14.43,27.03,303.515,6.73
41,kasongo-lunda,74,ID,1561518502,82,129.0,-3.31,299.415,6.43
42,kasongo-lunda,100,NO,1561518503,87,24.66,71.0,281.15,13.4
43,kasongo-lunda,0,AO,1561518505,37,20.74,-8.42,288.815,1.7
44,kasongo-lunda,46,RU,1561518506,51,78.37,65.96,284.015,2.87
45,kasongo-lunda,90,US,1561518507,88,-159.32,22.08,299.15,3.1
46,kasongo-lunda,9,SB,1561518508,74,161.92,-10.46,302.115,3.32
47,kasongo-lunda,0,FR,1561518510,88,6.1,45.9,294.82,2.1
48,kasongo-lunda,73,ZA,1561518511,90,19.24,-34.42,288.15,2.24
49,kasongo-lunda,0,IN,1561518513,46,71.4,25.74,305.515,6.78
50,kasongo-lunda,0,MG,1561518377,93,45.06,-25.17,289.115,1.98
51,kasongo-lunda,79,GA,1561518516,79,9.26,-1.57,297.015,6.58
52,kasongo-lunda,100,BR,1561518518,81,-50.22,-30.17,284.015,6.67
53,kasongo-lunda,11,RU,1561518518,37,97.46,58.38,299.715,3.14
54,kasongo-lunda,90,CA,1561518520,61,-135.01,68.22,278.15,4.6
55,kasongo-lunda,39,RU,1561518521,23,146.19,68.54,301.115,5.71
56,kasongo-lunda,84,ZA,1561518522,77,20.04,-34.53,289.15,4.6
57,kasongo-lunda,1,US,1561518321,16,-111.73,40.04,301.15,3.1
58,kasongo-lunda,80,ID,1561518524,80,140.4,-8.49,298.315,8.71
59,kasongo-lunda,0,FI,1561518525,81,27.73,64.22,282.15,1.0
60,kasongo-lunda,1,AR,1561518521,89,-58.74,-38.55,277.59,2.68
61,kasongo-lunda,1,CA,1561518528,93,-73.48,45.36,296.15,1.5
62,kasongo-lunda,75,MU,1561518530,83,57.66,-20.01,297.15,6.7
63,kasongo-lunda,1,US,1561518531,83,-96.17,42.79,298.15,0.59
64,kasongo-lunda,0,AU,1561518324,54,147.33,-42.88,291.48,3.6
65,kasongo-lunda,0,BR,1561518533,75,-61.19,-11.68,295.515,0.59
66,kasongo-lunda,0,DE,1561518534,83,9.98,52.12,297.59,1.0
67,kasongo-lunda,0,PF,1561518535,77,-139.03,-9.8,300.415,7.92
68,kasongo-lunda,84,PH,1561518536,73,122.67,11.0,303.215,3.77
69,kasongo-lunda,43,ZA,1561518537,97,27.91,-33.02,284.115,1.86
70,kasongo-lunda,75,MU,1561518538,83,57.7,-20.41,297.15,6.7
71,kasongo-lunda,0,RU,1561518540,87,40.13,57.55,283.15,1.0
72,kasongo-lunda,0,IR,1561518542,49,46.09,36.2,294.715,1.38
